"experiment","acte","scene","version","chunk","verse_id","char","text","selected"
"mml06","1","1","modern","0","1","SGANARELLE","Non, je ne veux pas faire ce que tu me demandes. C'est à moi de décider et d'être le chef ici.","1"
"mml06","1","1","original","0","1","SGANARELLE","NON, je te dis que je n'en veux rien faire, et que c'est à moi de parler et d'être le maître.","0"
"mml06","1","1","modern","0","2","MARTINE","Mais moi, je veux que tu fasses ce que je te dis. Je ne me suis pas mariée avec toi pour supporter tes bêtises.","1"
"mml06","1","1","original","0","2","MARTINE","Et je te dis, moi, que je veux que tu vives à ma fantaisie, et que je ne me suis point mariée avec toi pour souffrir tes fredaines.","0"
"mml06","1","1","modern","0","3","SGANARELLE","Ah, quelle corvée d'avoir une femme! Aristote avait raison quand il disait qu'une femme est pire qu'un démon!","0"
"mml06","1","1","original","0","3","SGANARELLE","O la grande fatigue que d'avoir une femme! et qu'Aristote a bien raison quand il dit qu'une femme est pire qu'un démon!","0"
"mml06","1","1","modern","0","4","MARTINE","Regardez cet homme intelligent, qui croit tout savoir grâce à son cher Aristote!","0"
"mml06","1","1","original","0","4","MARTINE","Voyez un peu l'habile homme, avec son benêt d'Aristote!","0"
"mml06","1","1","modern","0","5","SGANARELLE","Oui, je suis intelligent. Trouvez-moi un bûcheron qui puisse raisonner comme moi, qui ait travaillé six ans pour un célèbre médecin et qui ait appris les bases par cœur dès son plus jeune âge.","0"
"mml06","1","1","original","0","5","SGANARELLE","Oui, habile homme. Trouve-moi un faiseur de fagots qui sache, comme moi, raisonner des choses, qui ait servi six ans un fameux médecin, et qui ait su dans son jeune âge son rudiment par coeur.","0"
"mml06","1","1","modern","0","6","MARTINE","Quel fou!","0"
"mml_manual","1","1","modern","0","6","MARTINE","Quel con!","1"
"mml06","1","1","original","0","6","MARTINE","Peste du fou fieffé!","0"
"mml06","1","1","modern","0","7","SGANARELLE","Quelle peste!","0"
"mml06","1","1","original","0","7","SGANARELLE","Peste de la carogne!","0"
"mml06","1","1","modern","0","8","MARTINE","Je regrette le jour où j'ai accepté de t'épouser!","0"
"mml06","1","1","original","0","8","MARTINE","Que maudit soit l'heure et le jour où je m'avisai d'aller dire oui!","0"
"mml06","1","1","modern","0","9","SGANARELLE","Je maudis le notaire qui m'a fait signer ce contrat de mariage!","0"
"mml06","1","1","original","0","9","SGANARELLE","Que maudit soit le bec cornu de notaire qui me fit signer ma ruine!","0"
"mml06","1","1","modern","0","10","MARTINE","Tu devrais être reconnaissant d'avoir une femme comme moi. Tu ne méritais pas de m'épouser!","0"
"mml06","1","1","original","0","10","MARTINE","C'est bien à toi vraiment à te plaindre de cette affaire! Devrois-tu être un seul moment sans rendre grâce au Ciel de m'avoir pour ta femme? et méritois-tu d'épouser une personne comme moi?","0"
"mml06","1","1","modern","1","11","SGANARELLE","C'est vrai que tu m'as fait beaucoup d'honneur en m'épousant, mais je ne veux pas en parler.","0"
"mml06","1","1","original","1","11","SGANARELLE","Il est vrai que tu me fis trop d'honneur et que j'eus lieu de me louer la première nuit de nos noces. Hé! morbleu! ne me fais point parler là-dessus, je dirois de certaines choses...","0"
"mml06","1","1","modern","1","12","MARTINE","Pourquoi?","0"
"mml06","1","1","original","1","12","MARTINE","Quoi? que dirois-tu?","0"
"mml06","1","1","modern","1","13","SGANARELLE","Laissons ça de côté. Ce qui compte, c'est que tu as de la chance de m'avoir.","0"
"mml06","1","1","original","1","13","SGANARELLE","Baste! laissons là ce chapitre; il suffit que nous savons ce que nous savons, et que tu fus bien heureuse de me trouver.","0"
"mml06","1","1","modern","1","14","MARTINE","De la chance? Tu me mènes à la ruine, tu es un débauché et un traître qui me vole tout!","0"
"mml06","1","1","original","1","14","MARTINE","Qu'appelles-tu bien heureuse de te trouver? Un homme qui me réduit à l'hôpital, un débauché, un traître qui me mange tout ce que j'ai...","0"
"mml06","1","1","modern","1","15","SGANARELLE","Tu mens, je ne te vole qu'une partie de ce que tu as.","0"
"mml06","1","1","original","1","15","SGANARELLE","Tu as menti, j'en bois une partie.","0"
"mml06","1","1","modern","2","16","MARTINE","Tu vends tout ce qui se trouve dans la maison...","0"
"mml06","1","1","original","2","16","MARTINE","Qui me vend pièce à pièce tout ce qui est dans le logis...","0"
"mml06","1","1","modern","2","17","SGANARELLE","C'est ce qu'on appelle vivre modestement.","0"
